,Question
617,"
<p>What change should be made to correct the code?</p>
<p>String returnValue = """";</p>
<p>try {</p>
<p>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; BufferedReader d = new BufferedReader(new InputStreamReader(System.in));</p>
<p>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; String userInput = new String(d.readLine());</p>
<p>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; returnValue = userInput;</p>
<p>}</p>
"
618,"
<p>What would you put in the blank areas to let the following code read some integer data from console?</p>
<p>Scanner sc = new Scanner(_______________);</p>
<p>int intValue ;</p>
<p>while ((intValue = _______________)!= -1)</p>
<p>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; System.out.println(intValue);</p>
"
619,"
<p>What will be printed by the following code if in.txt includes two sentences which have been inserted in two separate lines?</p>
<p>try {</p>
<p>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; inputStream = new FileReader(""in.txt"");</p>
<p>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; int c;</p>
<p>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; while ((c = inputStream.read()) != -1)</p>
<p>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; System.out.println((char)c);</p>
<p>} finally {</p>
<p>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; if (inputStream != null)</p>
<p>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; inputStream.close();</p>
<p>}</p>
"
620,"
<p>What will be outputted?</p>
<p>String input = ""Home&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; is &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; where the heart is"";</p>
<p>Scanner sc_input = new Scanner(input).useDelimiter(""\\s*is\\s*"");</p>
<p>while (sc_input.hasNext())</p>
<p>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; System.out.println(sc_input.next());</p>
"
621,"
<p>What will be the output?</p>
<p>class Pen{</p>
<p>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; float hight;</p>
<p>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; public Pen(){</p>
<p>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; hight = 0;</p>
<p>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; }</p>
<p>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; public Pen ( float h){</p>
<p>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; hight = h;</p>
<p>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; }</p>
<p>}</p>
<p>class Pencil extends Pen{</p>
<p>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; String type;</p>
<p>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; public Pencil(){</p>
<p>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; type = null;</p>
<p>&nbsp;&nbsp;&nbsp;&nbsp; }</p>
<p>&nbsp;&nbsp;&nbsp;&nbsp; public Pencil (String t){</p>
<p>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; type = t;</p>
<p>&nbsp;&nbsp;&nbsp;&nbsp; }</p>
<p>}</p>
<p>public class test {</p>
<p>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; public static void main(String[] arg){</p>
<p>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Pen mypen = new Pen(10);</p>
<p>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; System.out.print(mypen.hight+ "" "");</p>
<p>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Pencil mypencil = new Pencil(""HB"");</p>
<p>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; System.out.println(mypencil.hight + "" ""+ mypencil.type);</p>
<p>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; }</p>
<p>}</p>
"
622,"
<p>What will be the output?</p>
<p>class Pen{</p>
<p>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; float hight;</p>
<p>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; public Pen ( float h){</p>
<p>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; hight = h;</p>
<p>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; }</p>
<p>}</p>
<p>class Pencil extends Pen{</p>
<p>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; String type;</p>
<p>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; public Pencil(){</p>
<p>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; type = null;</p>
<p>&nbsp;&nbsp;&nbsp;&nbsp; &nbsp; }</p>
<p>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; public Pencil (String t){</p>
<p>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; type = t;</p>
<p>&nbsp;&nbsp;&nbsp;&nbsp; }</p>
<p>}</p>
<p>public class test {</p>
<p>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; public static void main(String[] arg){</p>
<p>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Pen mypen = new Pen(10);</p>
<p>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; System.out.print(mypen.hight+ "" "");</p>
<p>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Pencil mypencil = new Pencil(""HB"");</p>
<p>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; System.out.println(mypencil.hight + "" ""+ mypencil.type);</p>
<p>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; }</p>
<p>}</p>
"
623,<p>Which option is NOT a correct solution to handle an exception if we know that NumberException is a user defined exception?</p>
624,"
<p>2. Consider the following class definition:</p>
<pre lang=""text/x-java"">public class SillyTestClass {
   public SillyTestClass(int x, int y) {
      System.out.println(y);
   }
   public SillyTestClass(String string1, String string2) {
      System.out.println(string2);
   }
   public static void main (String [ ] args) {
      SillyTestClass app = new SillyTestClass(20, &ldquo;Try this!&rdquo;);
   }
}
</pre>
<p>Which of the following is the most accurate statement about this code?</p>
"
625,"
<p>The code fragment given above was intended to read values until a negative&nbsp;value was read and then to print the product of the positive values read. Unfortunately, it does not work.</p>
<pre lang=""text/x-java"">1.  Scanner kbd = new Scanner(System.in);
2.  int x, product;
3.  product = 0;
4.  x = kbd.nextInt();
5.  while (x &gt;= 0) {
6.     if (x &gt; 0) {
7.        product *= x;
8.     }
9.     x = kbd.nextInt();
10. }
11. System.out.println(product);
</pre>
<p>&nbsp;</p>
<p>Which of the following best describes the error that prevents the code from computing the correct answer?</p>
"
630,"
<p>Consider the following code:</p>
<pre lang=""text/x-java"">   public int examMethod(int n) {
      if (n == 1) return 1;
      else if (n &gt; 1) return (n + this.examMethod(n-1));
   }
</pre>
<p>&nbsp;</p>
<p>What is the purpose of <code>examMethod</code>?</p>
"
631,"
<p>Consider the following method:</p>
<pre lang=""text/x-java"">public int examMethod(int n) {
   if (n == 1) return 1;
   else return (n + this.examMethod(n-1));
}
</pre>
<p>&nbsp;</p>
<p>Which of the following inputs will cause a non-terminating recursion?</p>
"
633,"
<p>Consider the following Java interface definition:</p>
<p>public interface Mover {<br>&nbsp; &nbsp;public int getX();<br>&nbsp; &nbsp;public int getY();<br>&nbsp; &nbsp;public void setLocation(int x, int y);<br>}</p>
<p>Which of the following is a correct implementation of the Mover interface?</p>
"
634,"
<p>Consider the following Java interface:</p>
<pre lang=""text/x-java"">public interface Mover {
   public int getX();
   public int getY();
   public void setLocation(int x, int y);
}
</pre>
<p>&nbsp;</p>
<p>Choose the best description of the following implementation of the Mover interface:</p>
<pre lang=""text/x-java"">public class CartoonCharacter implements Mover{
   public int getX;
   public int getY;
   public void setLocation;
}
</pre>
"
635,"
<p>1. What is the value of the following Java arithmetic expression?</p>
<p>&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;<code> 4 * 3 + 6 / 4</code></p>
"
636,"<p>What is the <em>maximum</em> result of computing X % 7, where all we know about X is that it is a positive integer?</p>"
637,<p>Which sentence is not correct regarding exception handling in java?</p>
638,"
<p>What will be outputted?</p>
<p>int c = 1;</p>
<p>int result = 10;</p>
<p>result += ++c;</p>
<p>System.out.print(result+ "" ""+ c);</p>
"
639,"
<p>Which of these following codes result the same?</p>
<p>1</p>
<p>if (mark =='A'){</p>
<p>&nbsp;&nbsp;&nbsp; if (GPA &gt; 3.5)</p>
<p>&nbsp;&nbsp;&nbsp; x = 1;</p>
<p>}</p>
<p>else</p>
<p>&nbsp;&nbsp;&nbsp; x = 2;</p>
<p>&nbsp;</p>
<p>2</p>
<p>if (mark =='A')</p>
<p>&nbsp;&nbsp;&nbsp; if (GPA &gt; 3.5)</p>
<p>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; x = 1;</p>
<p>&nbsp;&nbsp;&nbsp; else</p>
<p>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; x = 2;</p>
<p>&nbsp;</p>
<p>3</p>
<p>if (mark =='A'){</p>
<p>&nbsp;&nbsp;&nbsp; if (GPA &gt; 3.5)</p>
<p>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; x = 1;</p>
<p>&nbsp;&nbsp; else</p>
<p>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; x = 2;</p>
<p>}</p>
"
640,"
<p>What will be outputted?</p>
<p>int num = 3;</p>
<p>int counter = 1;</p>
<p>boolean condition = true;</p>
<p>while(condition){</p>
<p>&nbsp;&nbsp;&nbsp; num+= counter++;</p>
<p>&nbsp;&nbsp;&nbsp; if(num&gt;10){</p>
<p>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; condition=false;</p>
<p>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; num+= ++counter;</p>
<p>&nbsp;&nbsp;&nbsp; }</p>
<p>}</p>
"
641,"
<p>What will be outputted?</p>
<p>int income = 30;</p>
<p>boolean condition1 = true, condition2 = true;</p>
<p>if(income &lt; 100)</p>
<p>&nbsp;&nbsp;&nbsp; if(income &gt; 10)</p>
<p>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; if(condition1){</p>
<p>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; System.out.print(""A"");</p>
<p>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; if(income &lt; 20)</p>
<p>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; System.out.print(""B"");</p>
<p>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; }</p>
<p>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; else</p>
<p>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; System.out.print(""C"");</p>
<p>&nbsp;&nbsp;&nbsp; if(!condition2){</p>
<p>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; if(income &gt; 50)</p>
<p>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; System.out.print(""D"");</p>
<p>&nbsp;&nbsp;&nbsp; }</p>
<p>&nbsp;&nbsp;&nbsp; else</p>
<p>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; System.out.print(""E"");</p>
"
642,"
<p>Fill the gap in such a way that the odd number less than 10 and greater than zero is printed.</p>
<p>for (_________________________)</p>
<p>&nbsp;&nbsp;&nbsp; System.out.println(i+1);</p>
"
643,"
<p>What would be outputted?</p>
<p>char initial = 'a';</p>
<p>switch (initial){</p>
<p>case 'a':</p>
<p>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; System.out.print(""A"");</p>
<p>case 'b':</p>
<p>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; System.out.print(""B"");</p>
<p>default:</p>
<p>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; System.out.print(""C"");</p>
<p>}</p>
"
644,"
<p>What will be outputted?</p>
<p>char initial = 'a';</p>
<p>switch (initial){</p>
<p>&nbsp; &nbsp; case 'a':</p>
<p>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; System.out.print(""A"");</p>
<p>&nbsp;&nbsp;&nbsp; default:</p>
<p>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; System.out.print(""C"");</p>
<p>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; break;</p>
<p>&nbsp;&nbsp;&nbsp;&nbsp; case 'b':</p>
<p>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; System.out.print(""B"");</p>
<p>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; break;</p>
<p>}</p>
"
645,"
<p>What would be the value of sum at the end of executing this code?</p>
<p>int sum;</p>
<p>for (int i = 0; i &lt; 2; i++)</p>
<p>&nbsp;&nbsp;&nbsp; for (int j = 0; j &lt; 5; j++ ){</p>
<p>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; sum = i + j;</p>
<p>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; if (sum &gt; 5) break;</p>
<p>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; else continue;</p>
<p>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; System.out.print(sum);</p>
<p>}</p>
"
646,"
<p>To compute the following series, the following code will do the job. What will be the initial value of stat, fact and sum respectively?</p>
<p>-X + X3/3! - X5/5! + ...</p>
<p>for ( int i = 2; i &lt;= n; i++){</p>
<p>&nbsp;&nbsp;&nbsp; for (int j = 2*i -1; j &gt; 2*i -3 ; j--){</p>
<p>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; stat *=x;</p>
<p>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; fact*= j;</p>
<p>&nbsp;&nbsp;&nbsp; }</p>
<p>&nbsp;&nbsp;&nbsp; p_f *= -1;</p>
<p>&nbsp;&nbsp;&nbsp; sum += p_f* stat/fact;</p>
"
647,"
<p>Consider the following static method in Java:</p>
<pre lang=""text/x-java"">public static int[] mystery(int[] arr, int x) {
  int a=0;
  for (int i=0; i&lt;arr.length; i++) {
    if (arr[i] &gt; x) {
      a++;
    }
  }
  int[] ar2=new int[a];
  int z=0;
  for (int i=0; i&lt;arr.length; i++) {
    if (arr[i] &gt; x) {
      ar2[z]=arr[i];
      z++;
    }
  }
  return ar2;
}
</pre>
<p>&nbsp;</p>
<p><span style=""font-family: arial,helvetica,sans-serif;"">What will this function (static method) return when invoke with the array {1, 9, 3, 4, 9, 4, 5, 2, 7} and the integer 5?</span></p>
"
648,"
<p>Consider the following interface definition:</p>
<pre lang=""text/x-java"">public interface Mover {
   public int getX();
   public int getY();
   public void setLocation(int x, int y);
}
</pre>
<p>&nbsp;</p>
<p><span style=""font-family: arial, helvetica, sans-serif;"">Choose the answer that best describes the following implementation of the <code>Mover</code> interface:<br></span></p>
<p><code><code><code>public class CartoonCharacter implements Mover {</code></code></code></p>
<p><code><code><code>&nbsp; &nbsp;public int getX();</code></code></code></p>
<p><code><code><code>&nbsp; &nbsp;public int getY();</code></code></code></p>
<p><code><code><code>&nbsp; &nbsp;public void setLocation(int x, int y);</code></code></code></p>
<p><code><code><code>}</code></code></code></p>
"
649,"
<p>Consider the following code:</p>
<pre lang=""text/x-python"">if x &gt;= 0:
    print (1)
elif x &lt; 20:
    print(2)
else:
    print(3)
print(4)
</pre>
<p>&nbsp;</p>
<p>For what values of x will 2 be among the values printed?</p>
"
650,"
<p>What is printed when the following program runs?</p>
<pre lang=""text/x-java"">public class Main {
  public static boolean getTrue() {
    System.out.print(""T"");
    return true;
  }

  public static boolean getFalse() {
    System.out.print(""F"");
    return false;
  }

  public static void main(String[] args) {
    getFalse() || getFalse();
  }
}
</pre>
"
651,"
<p>What is printed when the following program runs?</p>
<pre lang=""text/x-java"">public class Main {
  public static boolean getTrue() {
    System.out.print(""T"");
    return true;
  }

  public static boolean getFalse() {
    System.out.print(""F"");
    return false;
  }

  public static void main(String[] args) {
    getTrue() &amp;&amp; getTrue();
  }
}
</pre>
"
652,"
<p>What is printed when the following program runs?</p>
<pre lang=""text/x-java"">public class Main {
  public static boolean getTrue() {
    System.out.print(""T"");
    return true;
  }

  public static boolean getFalse() {
    System.out.print(""F"");
    return false;
  }

  public static void main(String[] args) {
    getTrue() &amp;&amp; getFalse();
  }
}
</pre>
"
653,"
<p>What is printed when the following program runs?</p>
<pre lang=""text/x-java"">public class Main {
  public static boolean getTrue() {
    System.out.print(""T"");
    return true;
  }

  public static boolean getFalse() {
    System.out.print(""F"");
    return false;
  }

  public static void main(String[] args) {
    getFalse() &amp;&amp; getTrue();
  }
}
</pre>
"
654,"
<p>Consider the code</p>
<p>int i = 3;</p>
<p>int *p = &amp;i;</p>
<p>Which of the following will print out &ldquo;The value is 3.&rdquo;?</p>
"
655,<p>Which of the following lines of code will correctly read in the two floats x and y?</p>
656,"
<p>Kejun has the executable add that adds three command-line args together and prints the<br>result. He runs it like so:<br><code>./add 25 10 5</code></p>
<code>the sum is 40</code><p><br>In his code, what is the value of argc?</p>
"
657,"<p>After the assignment <code>signal = &rsquo;abracadabra&rsquo;</code>, what is returned by <code>signal[:5]</code>?</p>"
658,"<p>After the assignment <code>signal = &rsquo;abracadabra&rsquo;</code>, what is returned by <code>signal[-1:]</code>?</p>"
659,"
<p>Ming is hashing the numbers 5, 99, 15, 25 and the hash function h(k) = k % 10. Which<br> collision resolution strategy did she use?</p>
<table border=""1""><tbody>
<tr>
<td>0</td>
<td>1</td>
<td>2</td>
<td>3</td>
<td>4</td>
<td>5</td>
<td>6</td>
<td>7</td>
<td>8</td>
<td>9</td>
</tr>
<tr>
<td>&nbsp;</td>
<td>&nbsp;</td>
<td>&nbsp;</td>
<td>&nbsp;</td>
<td>&nbsp;</td>
<td>25</td>
<td>5</td>
<td>15</td>
<td>&nbsp;</td>
<td>99</td>
</tr>
</tbody></table>"
660,<p>What is returned by <code>&rsquo;A A Milne&rsquo; &lt; &rsquo;A Linkletter&rsquo;</code>?</p>
661,"
<p>What is printed when the following program runs?</p>
<pre lang=""text/x-java"">public class Main {
  public static boolean getTrue() {
    System.out.print(""T"");
    return true;
  }

  public static boolean getFalse() {
    System.out.print(""F"");
    return false;
  }

  public static void main(String[] args) {
    getFalse() || getTrue();
  }
}
</pre>
"
662,"<p>Many English words have separate singular and plural forms, e.g., ""dog"" and ""dogs."" We are trying to write a method that properly pluralizes a word (though naively, by only adding an ""s"" at the end) if the count we have of that word is not 1. If the count is 1, we leave the word as is. Which of the following proposed solutions does not meet this specification?</p>"
663,"
<p><span style=""font-family: arial,helvetica,sans-serif;"">Consider the following Python code:</span></p>
<pre lang=""text/x-python"">if x &gt;= 0:
    print (1)
elif x &lt; 20:
    print(2)
else:
    print(3)
print(4)
</pre>
<p>&nbsp;</p>
<p>For what integer values of <code>x</code> will 1 be among the values printed?</p>
"
664,"
<p>Consider the following Python code:</p>
<pre lang=""text/x-python"">if x &gt;= 0:
    print (1)
elif x &lt; 20:
    print(2)
else:
    print(3)
print(4)
</pre>
<p>&nbsp;</p>
<p>For what integer values of x will 3 be amont the values printed?</p>
"
665,"
<p>Consider the following Python code:</p>
<p>if x &gt;= 0:</p>
<p>&nbsp;&nbsp;&nbsp; print 1</p>
<p>elif x &lt; 20:</p>
<p>&nbsp;&nbsp;&nbsp; print 2</p>
<p>else:</p>
<p>&nbsp;&nbsp;&nbsp; print 3</p>
<p>print 4</p>
<p>For what values of x will 4 be among the values printed?</p>
"
666,<p>Converting a value from one type to another sometimes requires an explicit cast and sometimes does not. Which of the following conversions and lines of reasoning explains how to convert a double d to an int i?</p>
667,"<p>After the assignment <code>s = &rsquo;slam&rsquo;</code>, which of the following code fragments prints <code>scam</code>?</p>"
668,"
<p>In this question, you are given a Perl regular expression that you are required to evaluate.</p>
<p>There are no leading or trailing spaces in any of the text, nor are there any spaces in the regex.</p>
<p>Identify the answer which best matches the regex below:</p>
<p>/20[0-3]+/</p>
"
669,"
<p>In this question, you are given a Perl regular expression that you are required to evaluate.</p>
<p>There are no leading or trailing spaces in any of the text, nor are there any spaces in the regex.</p>
<p>Identify the answer which matches the regex below:</p>
<p>/[A-Z][a-z]{2,4}day/</p>
"
670,"
<p>In this question, you are given a Perl regular expression that you are required to evaluate.</p>
<p>There are no leading or trailing spaces in any of the text, nor are there any spaces in the regex.</p>
<p>Identify the answer which matches the regex below:</p>
<p>/\d\d\d/</p>
"
671,<p>What are the merits of insertion sort compared to bubble sort and selection sort?</p>
672,"
<p>What is the output of the following program?</p>
<pre lang=""text/x-java"">public class Main {
  public static void swap(int a, int b) {
    int tmp = a;
    a = b;
    b = tmp;
  }

  public static void main(String[] args) {
    int a = 5, b = 7;
    swap(a, b);
    System.out.println(a + "" "" + b);
  }
}
</pre>
"
673,"<p>In Java, what does it mean if something is marked <code>static</code>?</p>"
674,"
<p>Suppose you've got a generic class:</p>
<pre lang=""text/x-java"">class Rosters&lt;T&gt; {
  ...
}
</pre>
<p>&nbsp;</p>
<p>You create a Rosters instance:</p>
<code>Rosters&lt;ArrayList&lt;String&gt;&gt; rosters;</code><p>&nbsp;</p>
<p>What is the erasure type of Rosters?</p>
"
675,"
<p>Consider the following Python code:</p>
<pre lang=""text/x-python"">in_str = input(&rsquo;Enter a string: &rsquo;)
a = &rsquo;&rsquo;
d = 0
r = 1

for c in &rsquo;abcdefghijklmnopqrstuvwxyz&rsquo;:
    if c in in_str:
        a = c + a
    else:
        d = d + 1
r += 2

print(a) # Line 1
print(d) # Line 2
print(r) # Line 3
</pre>
<p>&nbsp;</p>
<p>Given the input <code>&rsquo;Frick &amp; Frack&rsquo; </code>what output is produced by Line 1?</p>
"
676,"
<p>Consider the following Python code:</p>
<pre lang=""text/x-python"">in_str = input(&rsquo;Enter a string: &rsquo;)
a = &rsquo;&rsquo;
d = 0
r = 1

for c in &rsquo;abcdefghijklmnopqrstuvwxyz&rsquo;:
   if c in in_str:
      a = c + a
   else:
      d = d + 1
r += 2

print(a) # Line 1
print(d) # Line 2
print(r) # Line 3
</pre>
<p>&nbsp;</p>
<p>Given the input <code>&rsquo;Frick &amp; Frack&rsquo;</code> what output is produced by Line 2?</p>
"
677,"
<p>What does the following Java code produce?</p>
<pre lang=""text/x-java"">int result=1;
for (int i=1; i&lt;=N; i++) {
   result *= 2;
}
System.out.println(result);
</pre>
"
678,"<p>Which of the following expressions, when applied to each element of the array {0, 1, 2, 3, 4, 5, 6}, produces the array {0, 0, 1, 4, 5, 5, 9}?</p>"
679,"<p>Your data has 4-bit keys. You also have magical, perfect hash function that will prevent any collisions from happening, provided there is room enough for all possible elements in the array. What's the minimum number of elements the array must be able to hold?</p>"
680,"
<p>You've got this Word class for a project you are working on:</p>
<pre lang=""text/x-java"">class Word {
  private String letters;
  ...
  public int hashCode() {
    return letters.charAt(1);
  }
}
</pre>
<p>&nbsp;</p>
<p><span style=""font-family: arial, helvetica, sans-serif;"">For which of the word lists below is this implementation of hashCode a poor choice?</span></p>
"
681,"<p>You know exactly how much data you need to store, but there's not much of it. You do not need to be able to search the collection quickly, but insertion should be as fast as possible. What is the simplest data structure that best suits for your needs?</p>"
682,"
<p>You've got this code:</p>
<pre lang=""text/x-java"">TreeMap&lt;String, String&gt; map = new TreeMap&lt;String, String&gt;();
map.put(""A"", ""*"");
map.put(""AA"", ""*"");
map.put(""B"", ""****"");
for (String s : map.keySet()) {
  System.out.print(map.get(s) + "" "");
}
</pre>
<p>&nbsp;</p>
<p><span style=""font-family: arial, helvetica, sans-serif;"">What does it print?</span></p>
"
683,<p>You see the expression <code>n = null</code> in code that successfully compiles. Which is not a legal type of <code>n</code>?</p>
684,<p>The number of elements in a hashtable must be prime</p>
685,"
<p>You've got a class that holds two ints and that can be compared with other IntPair objects:</p>
<pre lang=""text/x-java"">class IntPair {
  private int a;
  private int b;
  
  public IntPair(int a, int b) {
    this.a = a;
    this.b = b;
  }
 
  public int compareTo(IntPair other) {
    if (a &lt; other.a) {
      return -1;
    } else if (a &gt; other.a) {
      return 1;
    } else {
      if (b == other.b) {
        return 0;
      } else if (b &gt; other.b) {
        return -1;
      } else {
        return 1;
      }
    }
  }
}
</pre>
<p>&nbsp;</p>
<p><span style=""font-family: arial, helvetica, sans-serif;"">Let's denote new IntPair(5, 7) as [5 7]. You've got a list of IntPairs:</span></p>
<p><span style=""font-family: arial, helvetica, sans-serif;"">[3 7], [4 6], [3 4]</span></p>
<p>You sort them using IntPair.compareTo. What is their sorted order?</p>
"
